Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-01-2024,,,,,,,,,,,,
Comunidades autónomas,Castilla y León,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024
Demanda,"1188620,25","1097697,698","1125672,909","1000555,054","1039388,012","1011911,924","1118713,89","1085791,176","1002483,013","1060383,098","1126147,2","1153652,62","1201844,588"
 ,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/01/2024,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha exportación,25/07/2024 - 16:33:12,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,
