PERIODO;"	VALOR"
2024T3;"	48,797,875"
2024T2;"	48,730,508"
2024T1;"	48,630,010"
2023T4;"	48,522,035"
2023T3;"	48,382,506"
2023T2;"	48,237,948"
2023T1;"	48,085,361"
2022T4;"	47,940,295"
2022T3;"	47,781,354"
2022T2;"	47,609,145"
2022T1;"	47,486,727"
2021T4;"	47,424,595"
2021T3;"	47,346,836"
2021T2;"	47,356,065"
2021T1;"	47,400,798"
2020T4;"	47,344,852"
2020T3;"	47,344,852"
2020T2;"	47,318,050"
2020T1;"	47,318,050"
2019T4;"	47,087,778"
2019T3;"	47,087,778"
2019T2;"	46,918,951"
2019T1;"	46,918,951"
2018T4;"	46,715,383"
2018T3;"	46,715,383"
2018T2;"	46,645,070"
2018T1;"	46,645,070"
2017T4;"	46,510,461"
2017T3;"	46,510,461"
2017T2;"	46,497,393"
2017T1;"	46,497,393"
2016T4;"	46,427,100"
2016T3;"	46,427,100"
2016T2;"	46,418,884"
2016T1;"	46,418,884"
2015T4;"	46,384,379"
2015T3;"	46,384,379"
2015T2;"	46,425,722"
2015T1;"	46,425,722"
2014T4;"	46,433,050"
2014T3;"	46,433,050"
2014T2;"	46,495,744"
2014T1;"	46,495,744"
2013T4;"	46,581,124"
2013T3;"	46,581,124"
2013T2;"	46,712,650"
2013T1;"	46,712,650"
2012T4;"	46,749,303"
2012T3;"	46,749,303"
2012T2;"	46,818,216"
2012T1;"	46,818,216"
2011T4;"	46,736,257"
2011T3;"	46,736,257"
2011T2;"	46,667,175"
2011T1;"	46,667,175"
